Common Name,Wingspan (cm),Release Date
Golden-Weaver,73.4,
Flyrobin,73.5,
Ground-Tyrant,73.5,
Mesia,73.5,
Pinktail,73.5,
Hornero,73.7,
Asity,73.8,
Spindalis,73.8,
Waterthrush,73.9,
Sparrow-Lark,74.2,
Tomtit,74.2,
Gibberbird,74.3,
Miner,74.5,
Liocichla,74.6,
Fire-eye,74.7,
Paradise-Whydah,74.7,
Fruiteater,74.8,
Scimitar-Babbler,75,
Straightbill,75.1,
Topaz,75.1,
Bushshrike,75.2,
Grass-Warbler,75.2,
Sholakili,75.2,
Bee-eater,75.4,
Redpoll,75.5,
Casiornis,75.6,
Dipper,75.6,
Ground-Robin,75.6,
Greenfinch,75.7,
Bush-Quail,75.8,
Blackcap,75.9,
Nightingale-Thrush,75.9,
Twite,75.9,
Quail-plover,76,
Sibia,76,
Foliage-gleaner,76.1,
Peppershrike,76.2,
Oriole,76.3,
Gallito,76.4,
Whinchat,76.5,
Laughingthrush,76.6,
Tinamou,76.6,
Cardinal,76.7,
Rock-Thrush,76.7,
Shrike-Tanager,76.7,
Blue-Fantail,76.8,
Forest-Flycatcher,76.8,
Parrotlet,76.8,
Black-Chat,77,
Black-Tit,77,
Malimbe,77,
Olive-Greenbul,77,
Bernieria,77.2,
Myza,77.2,
Iiwi,77.3,
Brubru,77.5,
Bluetail,77.6,
Towhee,77.6,
Spot-throat,77.7,
Dickcissel,77.9,
Nuthatch-Vanga,77.9,
Leaftosser,78,
Attila,78.2,
Boubou,78.2,
Schiffornis,78.3,
Wagtail,78.4,
Longspur,78.6,
Sittella,78.6,
Ground-Warbler,79.2,
Brownbul,79.6,
Wedgebill,79.6,
Jewel-babbler,79.7,
Wheatear,79.7,
Ifrita,79.8,
Pampa-Finch,79.8,
Shrike,79.8,
Woodshrike,79.8,
Skylark,79.9,
Sapayoa,80.2,
Mountaineer,80.3,
Woodhaunter,80.4,
Chilia,80.5,
Yellowhead,80.5,
Rhabdornis,80.6,
Thicket-Fantail,80.7,
Nicator,80.8,
Barwing,81,
Striolated-Puffbird,81,
Wood-Pewee,81,
Donacobius,81.1,
Philentoma,81.1,
Hylocitrea,81.2,
Thrush-Tanager,81.2,
Firewood-gatherer,81.4,
Pygmy-Owl,81.5,
Silktail,81.5,
Triller,81.5,
Slaty-Flycatcher,81.7,
Crocias,82,
Grosbeak-Canary,82,
Quail-thrush,82,
Blackstart,82.2,
Palm-Tanager,82.2,
Melampitta,83,
Logrunner,83.2,
Bare-eye,83.5,
Pitta,83.6,
Phoebe,83.9,
Shrike-flycatcher,83.9,
Antthrush,84,
Nightingale,84,
Solitaire,84.1,
Jacky-winter,84.3,
Morning-Thrush,84.4,
Bellbird,84.8,
Catbird,84.8,
Black-Flycatcher,85,
Saltator,85,
Crossbill,85.1,
Dapple-throat,85.3,
Twistwing,85.4,
Blackbird,85.6,
Cutia,85.7,
Palm-Thrush,85.7,
Chaffinch,85.9,
Mourner,86,
Jacana,86.2,
Songlark,86.2,
Sandpiper,86.4,
Plantcutter,86.5,
Alethe,86.7,
Mousebird,86.9,
Thrasher,86.9,
Paradise-Kingfisher,87,
Rockjumper,87.3,
Fruit-Dove,87.4,
Tiger-Parrot,87.4,
Wryneck,87.4,
Berryhunter,87.8,
Longclaw,87.8,
Baywing,87.9,
Cinclodes,88.1,
Starling,88.1,
Meadowlark,88.2,
Stint,88.2,
Swallow,88.2,
Yellowhammer,88.2,
Chat-Tanager,88.4,
Puaiohi,88.5,
Shrikebill,88.7,
Swiftlet,88.7,
Sugarbird,88.8,
Palila,89,
Plains-wanderer,89,
Swift,89,
Thrush,89,
Brambling,89.3,
Lovebird,89.4,
Sparrow-Weaver,89.4,
Scimitarbill,89.6,
Finchbill,89.8,
Gonolek,89.8,
Shrike-tit,89.8,
Martin,89.9,
Ou,90,
Bobolink,90.2,
Bristlebill,90.2,
Palmchat,90.2,
Olomao,90.5,
Shrikethrush,90.7,
Ibon,91.1,
Akohekohe,91.5,
Cuckoo,91.5,
Falconet,91.6,
Groundcreeper,91.8,
House-Martin,92,
Fiscal,92.2,
Sawwing,92.2,
Sharpbill,92.2,
Ground-Roller,92.4,
Hwamei,92.4,
Parakeet,92.4,
Ant-Tanager,92.5,
Owlet,92.6,
Phainopepla,92.6,
Silky-flycatcher,92.6,
Hookbill,92.8,
Pyrrhuloxia,93.3,
